Cuenta;2020;2021;2022;2023;2024;2025
Total Revenue;1698281237;2216732593;2656878395;2618437052;3224233005;3344835851
Cost Of Revenue;-1022498659;-1375392773;-1628701823;-1601997255;-1945363408;-2037679124
Gross Profit;675782578;841339820;1028176572;1016439797;1278869597;1307156727
Selling General And Administration;-283638935;-348949863;-429517716;-431295515;-561801213;-555125622
Research And Development;;;;;;
Operating Income;230537954;278563672;321771470;316296892;411911208;436817504
EBIT;230537954;278563672;321771470;316296892;411911208;436817504
EBITDA;;;;;;
Interest Expense;-54772837;-52992456;-59547953;-65288352;-70413883;-68218413
Pretax Income;178022719;203208988;232803625;260505794;368036771;380634342
Tax Provision;-54905399;-46177320;-104344638;-85994307;-133392646;-110156927
Net Income;121999805;154698150;125497642;171441410;232662884;268696936
Basic EPS;;;;;;
Diluted EPS;;;;;;
Basic Average Shares;;;;;;
Diluted Average Shares;;;;;;
Normalized Income;121999805;154698150;125497642;171441410;232662884;268696936
